timestamp,temperature,humidity,light,sound
1774818568863.0,21.0,55.0,70.0,207.0
1774818578863.0,21.0,55.0,72.0,211.0
1774818588863.0,21.0,55.0,72.0,206.0
1774818598863.0,21.0,55.0,71.0,207.0
1774818608863.0,21.0,55.0,71.0,206.0
1774818618863.0,21.0,55.0,71.0,207.0
1774818628863.0,21.0,55.0,72.0,321.0
1774818638863.0,21.0,55.0,71.0,251.0
1774818648863.0,21.0,55.0,71.0,207.0
1774818658863.0,21.0,55.0,71.0,233.0
1774818668863.0,21.0,55.0,70.0,229.0
1774818678863.0,21.0,55.0,70.0,207.0
1774818688863.0,21.0,55.0,71.0,270.0
1774818698863.0,21.0,55.0,71.0,208.0
1774818708863.0,21.0,55.0,71.0,208.0
1774818718863.0,21.0,55.0,70.0,208.0
1774818728863.0,21.0,55.0,71.0,229.0
1774818738863.0,21.0,55.0,71.0,207.0
1774818748863.0,21.0,55.0,71.0,250.0
1774818758863.0,21.0,55.0,71.0,209.0
1774818768863.0,21.0,55.0,71.0,209.0
1774818778863.0,21.0,55.0,72.0,277.0
1774818788863.0,21.0,55.0,70.0,209.0
1774818798863.0,21.0,55.0,70.0,355.0
1774818808863.0,21.0,55.0,71.0,209.0
1774818818863.0,21.0,55.0,71.0,971.0
1774818828863.0,21.0,55.0,70.0,208.0
1774818838863.0,21.0,55.0,71.0,232.0
1774818848863.0,21.0,55.0,70.0,221.0
1774818858863.0,21.0,55.0,70.0,274.0
1774818868863.0,21.0,55.0,71.0,209.0
1774818878863.0,21.0,55.0,68.0,209.0
1774818888863.0,21.0,55.0,68.0,240.0
1774818898863.0,21.0,55.0,69.0,209.0
1774818908863.0,21.0,55.0,69.0,210.0
1774818918863.0,21.0,55.0,71.0,278.0
1774818928863.0,21.0,55.0,69.0,317.0
1774818938863.0,21.0,55.0,69.0,248.0
1774818948863.0,21.0,55.0,69.0,209.0
1774818958863.0,21.0,55.0,69.0,344.0
1774818968863.0,21.0,55.0,0.0,820.0
1774818978863.0,21.0,55.0,70.0,249.0
1774818988863.0,21.0,55.0,71.0,209.0
1774818998863.0,21.0,55.0,70.0,210.0
1774819008863.0,21.0,55.0,72.0,210.0
1774819018863.0,21.0,55.0,69.0,210.0
1774819028863.0,21.0,55.0,70.0,210.0
1774819038863.0,21.0,55.0,70.0,760.0
1774819048863.0,21.0,55.0,70.0,471.0
1774819058863.0,21.0,55.0,70.0,443.0
1774819068863.0,21.0,55.0,70.0,443.0
1774819078863.0,21.0,55.0,71.0,210.0
1774819088863.0,21.0,55.0,71.0,413.0
1774819098863.0,21.0,55.0,73.0,211.0
1774819108863.0,21.0,55.0,70.0,211.0
1774819118863.0,21.0,55.0,70.0,211.0
1774819128863.0,21.0,55.0,72.0,284.0
1774819138863.0,21.0,55.0,71.0,268.0
1774819148863.0,21.0,55.0,71.0,211.0
1774819158863.0,21.0,55.0,71.0,211.0
1774819168863.0,21.0,55.0,71.0,292.0
