timestamp,temperature,humidity,light,sound,distance,motion
1776476125394,17.0,76.0,312,1,514,0
1776476135903,17.0,76.0,312,2,513,0
1776476146411,17.0,76.0,312,1,513,0
1776476156994,17.0,76.0,312,2,514,0
1776476167426,17.0,76.0,312,1,514,0
1776476177961,17.0,76.0,312,2,514,0
1776476188495,17.0,76.0,312,1,514,0
1776476199027,17.0,76.0,311,2,514,0
1776476209561,17.0,76.0,312,2,514,0
1776476220094,17.0,76.0,312,2,514,0
1776476230628,17.0,76.0,312,1,514,0
1776476241188,17.0,76.0,312,2,514,0
1776476251720,17.0,76.0,312,0,514,0
1776476262252,17.0,76.0,312,1,514,0
1776476272783,17.0,76.0,311,1,514,0
1776476283291,17.0,76.0,313,2,514,0
1776476283291,17.0,76.0,313,2,514,0
1776476293799,17.0,76.0,313,1,514,0
1776476304331,17.0,76.0,312,2,514,0
1776476314813,17.0,76.0,312,1,514,0
1776476325343,17.0,76.0,312,2,514,0
1776476335875,17.0,76.0,311,1,514,0
1776476346406,17.0,76.0,312,1,514,0
1776476356939,17.0,76.0,312,2,513,0
1776476367451,17.0,76.0,313,1,514,0
1776476377983,17.0,76.0,312,1,514,0
1776476388464,17.0,76.0,312,1,514,0
1776476399021,17.0,76.0,312,2,514,0
1776476409503,17.0,76.0,313,1,514,0
1776476420013,17.0,76.0,312,2,513,0
1776476430518,17.0,76.0,312,2,514,0
1776476441050,17.0,75.0,311,1,513,0
1776476451583,17.0,76.0,312,1,514,0
1776476462115,17.0,76.0,312,1,514,0
1776476472622,17.0,76.0,311,2,514,0
1776476483154,17.0,76.0,311,2,514,0
1776476493661,17.0,76.0,312,1,514,0
1776476504194,17.0,76.0,312,2,514,0
1776476514726,17.0,76.0,311,1,514,0
1776476525258,17.0,76.0,312,2,514,0
1776476535790,17.0,76.0,312,2,514,0
1776476546298,17.0,76.0,312,1,514,0
1776476556829,17.0,76.0,312,2,514,0
1776476567335,17.0,76.0,312,1,514,0
1776476577867,17.0,76.0,312,1,514,0
1776476588399,17.0,76.0,312,1,514,0
1776476598933,17.0,76.0,311,2,514,0
1776476609466,17.0,76.0,313,1,514,0
1776476619999,17.0,76.0,313,3,513,0
1776476630533,17.0,76.0,312,2,514,0
1776476641066,17.0,76.0,312,2,513,0
1776476651575,17.0,76.0,312,2,514,0
1776476662108,17.0,76.0,311,0,513,0
1776476672620,17.0,76.0,312,1,514,0
1776476683128,17.0,76.0,312,1,513,0
1776476693635,17.0,76.0,313,1,514,0
1776476704144,17.0,76.0,311,1,514,0
1776476714676,17.0,76.0,312,3,514,0
1776476725210,17.0,76.0,312,1,514,0
1776476735718,17.0,76.0,312,1,514,0
1776476746226,17.0,76.0,311,1,514,0
1776476756757,17.0,76.0,312,2,514,0
1776476767292,17.0,76.0,313,1,514,0
1776476777825,17.0,76.0,312,1,514,0
1776476788356,17.0,76.0,311,1,514,0
1776476798864,17.0,76.0,313,2,514,0
1776476809396,17.0,76.0,313,1,514,0
1776476819929,17.0,76.0,312,1,514,0
1776476830410,17.0,76.0,312,1,513,0
1776476840942,17.0,76.0,312,2,514,0
1776476851424,17.0,76.0,312,2,514,0
1776476861956,17.0,76.0,312,2,514,0
1776476872463,17.0,76.0,311,1,514,0
1776476882995,17.0,76.0,312,2,514,0
1776476893502,17.0,76.0,312,2,514,0
1776476904035,17.0,76.0,312,1,514,0
1776476914542,17.0,76.0,313,1,514,0
1776476925074,17.0,76.0,312,2,514,0
